source,target,Viajes,Tiempo_Promedio
1,1,1692,1470.565603
1,2,495,341.9818182
1,4,936,443.0181624
1,5,725,421.1255172
1,6,447,664.2259508
1,7,475,703.5094737
1,9,617,380.0340357
1,11,753,446.5763612
1,12,656,383.8246951
1,14,777,591.2612613
1,15,373,517.5067024
1,18,1383,432.7888648
1,25,412,466.8932039
1,27,1019,474.4484789
1,28,452,659.6438053
1,30,459,603.7908497
1,34,700,595.4514286
1,35,1191,483.9151973
1,86,778,471.6876607
1,99,819,778.0659341
1,103,502,583.4920319
1,111,460,572.5673913
1,121,449,600.8997773
1,174,1124,595.5240214
1,183,426,491.5140845
1,266,511,946.4951076
1,271,559,851.0661896
10,10,492,1631.097561
10,266,498,612.9016064
100,100,413,1983.866828
102,102,530,1508.160377
103,1,402,608.8606965
103,18,448,588.0803571
103,103,753,1662.632138
103,174,574,507.587108
103,254,399,409.3884712
106,92,521,752.7927063
106,95,527,430.654649
106,106,714,1608.879552
106,107,407,760.5626536
107,3,404,804.7945545
107,107,505,1663.724752
107,113,1581,274.9721695
107,116,553,478.5822785
107,124,472,413.75
107,266,469,825.6012793
107,271,443,873.785553
108,33,549,1331.52459
108,108,722,1964.799169
108,139,408,1599.916667
108,257,812,1138.860837
108,260,459,1329.923747
108,479,459,1601.618736
109,109,533,1519.771107
11,1,640,440.4625
11,11,1020,1655.930392
11,34,421,467.567696
11,99,463,709.537797
11,121,468,409.4444444
11,174,516,593.4127907
111,1,398,776.9472362
111,18,759,482.5270092
111,111,1246,1513.166934
111,174,1668,344.8920863
111,256,530,399.9226415
112,112,693,1292.350649
112,119,422,492.0687204
113,107,1463,380.4285714
113,113,559,4006.570662
113,119,627,344.2009569
114,114,438,1470.680365
115,119,380,376.1026316
116,112,380,419.1236842
116,116,1009,1315.127849
116,117,402,375.9626866
116,120,475,330.0273684
117,116,514,465.8151751
117,117,382,1435.924084
117,119,511,319.481409
119,34,368,481.9456522
119,112,439,417.5922551
119,113,774,250.0865633
119,115,378,346.531746
119,117,429,320.8624709
119,119,734,1546.208447
119,120,560,287.7660714
119,121,366,310.4590164
12,1,664,471.6039157
12,12,373,1408.209115
120,116,615,361.2130081
120,119,741,280.9149798
120,120,810,1256.790123
121,119,379,322.5804749
121,121,440,1298.425
123,123,960,1179.411458
124,82,949,736.2992624
124,107,434,458.6912442
124,123,398,328.8768844
124,124,1024,1431.914063
125,125,830,1531.16747
126,126,786,1602.828244
126,130,401,364.9127182
126,134,748,388.1377005
126,136,674,385.2477745
126,141,602,473.4401993
127,127,554,1588.938628
128,128,617,1393.168558
129,129,977,893.6110542
130,130,380,1138.276316
131,131,485,1111.903093
131,133,660,336.5439394
132,132,482,1410.645228
133,131,418,375.8827751
133,133,933,1189.096463
133,136,596,425.9312081
134,58,383,709.3577023
134,126,699,309.3175966
134,134,749,1367.261682
135,56,418,604.0334928
135,126,420,426.8095238
135,134,448,404.6607143
135,135,1148,1453.984321
135,136,1120,380.8526786
136,126,595,352.907563
136,133,444,528.6914414
136,135,919,387.3558215
136,136,710,1346.076056
137,136,451,379.5099778
137,137,863,1644.775203
138,138,759,1353.86693
139,33,599,1548.944908
139,108,448,1440.8125
139,139,2093,1834.165791
139,155,649,711.3990755
139,257,456,1486.546053
139,449,529,1496.243856
14,1,412,676.4271845
14,14,459,1723.91939
14,27,473,680.7589852
14,266,429,1161.407925
14,271,473,1145.765328
140,140,657,1301.146119
141,126,679,411.9543446
141,141,1285,1286.088716
141,148,387,371.6330749
141,158,854,456.7529274
142,142,877,1219.420753
142,144,367,426.4414169
142,157,408,404.8455882
143,143,567,1418.303351
144,144,617,1534.641815
145,126,445,447.3685393
145,145,1088,1373.75
145,149,509,360.2907662
145,158,732,390.1461749
146,36,425,780.2847059
146,71,370,378.6648649
146,145,440,560.9045455
146,146,968,1218.045455
147,146,433,391.5311778
147,147,518,989.9324324
148,145,418,274.6650718
149,140,428,283.6308411
149,145,564,467.8262411
149,146,375,545.7253333
149,149,401,1011.820449
149,151,410,389.9341463
15,15,508,1161.42126
15,27,411,586.4890511
150,150,592,1447.326014
150,157,413,422.1791768
150,162,476,323.7920168
150,164,475,496.4021053
151,140,475,443.4168421
151,146,400,435.36
151,149,498,416.2269076
151,151,1023,1339.047898
151,158,1047,333.3763133
151,159,416,396.0408654
152,152,452,846.3274336
153,149,504,449.4781746
153,153,658,1288.534954
154,142,467,338.267666
154,146,838,259.5190931
154,150,623,356.8972713
154,154,410,1278.007317
155,139,624,1012.459936
155,155,1608,1750.133085
156,156,477,1884.748428
156,158,504,357.1428571
158,141,1182,452.4416244
158,145,906,396.9337748
158,147,382,388.4633508
158,151,974,419.8429158
158,153,389,439.5089974
