"Horario","Ciclo_Estacion_Retiro","Ciclo_Estacion_Arribo","Viajes","Tiempo_Promedio"
1,"391",391,702,36.6395536562203
2,"107",113,489,4.71349693251534
2,"111",174,397,4.31041141897565
2,"135",136,452,5.66508112094395
2,"146",36,376,9.83275709219858
2,"151",149,826,3.71945117029863
2,"154",142,392,4.9468112244898
2,"165",163,375,3.42955555555556
2,"174",11,393,9.02162849872774
2,"208",206,390,7.61641025641026
2,"211",217,558,3.36532258064516
2,"271",7,387,16.0997846683893
2,"271",24,435,14.0005747126437
2,"271",26,809,6.86907704985579
2,"272",28,398,15.1609715242881
2,"327",327,371,35.4781221922731
2,"35",1,449,7.22668893838159
2,"391",391,882,39.0550642479214
2,"465",197,433,9.16081601231717
2,"465",463,377,6.60123784261715
3,"1",1,792,23.6206228956229
3,"1",4,384,7.02599826388889
3,"1",14,426,10.3992957746479
3,"1",18,634,7.01009463722397
3,"1",35,680,8.72210784313726
3,"1",174,422,9.92010268562401
3,"10",10,424,24.4926493710692
3,"103",103,429,23.6705128205128
3,"106",106,372,27.5273297491039
3,"107",113,477,7.23696715583508
3,"11",1,366,6.74025500910747
3,"11",11,713,26.8063581112669
3,"111",111,575,24.6112463768116
3,"111",174,890,5.01026217228464
3,"112",112,387,21.9802325581395
3,"113",107,400,8.00904166666667
3,"115",115,606,21.7287128712871
3,"116",116,609,25.9551176792556
3,"117",117,419,22.7293158313445
3,"117",119,404,6.06002475247525
3,"119",119,391,22.0015771526002
3,"123",123,632,17.9670886075949
3,"124",82,969,12.6598039215686
3,"124",124,488,20.3497267759563
3,"125",125,1106,23.7684297769741
3,"129",129,429,17.8996114996115
3,"133",133,610,20.3378961748634
3,"134",134,455,19.3365201465201
3,"135",56,393,8.53422391857506
3,"135",135,595,23.6021288515406
3,"135",136,576,7.10225694444444
3,"136",135,531,6.7594475831764
3,"136",136,458,20.0934861717613
3,"137",137,396,21.4239478114478
3,"139",33,434,24.6405913978495
3,"139",139,1660,28.5081024096386
3,"14",14,498,37.0253681392236
3,"141",141,907,17.0484748254318
3,"142",142,608,22.3280701754386
3,"144",144,366,24
3,"145",145,461,22.7353217642805
3,"146",146,440,21.1379545454545
3,"149",149,465,18.9905376344086
3,"150",150,526,20.5682509505703
3,"151",151,694,20.458237271854
3,"151",158,369,5.916711833785
3,"155",139,372,16.4426523297491
3,"155",155,1021,33.3382794645772
3,"158",134,391,9.06214833759591
3,"158",141,636,7.62974318658281
3,"158",151,517,6.77869116698904
3,"16",16,450,31.6381111111111
3,"160",160,558,22.5298984468339
3,"160",257,593,8.8597807757167
3,"163",162,420,5.3506746031746
3,"163",163,425,25.7852156862745
3,"163",165,466,5.41351931330472
3,"164",163,367,6.96975476839237
3,"164",164,430,23.9045348837209
3,"165",163,669,4.05864474339811
3,"167",286,637,6.42208267922554
3,"169",169,571,19.6716870986573
3,"172",172,436,22.6867354740061
3,"174",1,452,9.90313421828909
3,"174",111,892,5.50310164424514
3,"174",174,492,25.1325203252033
3,"174",183,564,6.0375
3,"175",175,457,27.925601750547
3,"18",1,754,7.19586648983201
3,"18",18,668,35.3277694610778
3,"180",303,449,7.80315515961396
3,"181",181,448,21.3583705357143
3,"182",182,520,23.1658974358974
3,"183",174,684,5.15287524366472
3,"183",183,595,23.9514285714286
3,"184",184,507,27.2317225509533
3,"190",190,559,26.5549194991055
3,"194",194,802,34.6219866999169
3,"195",195,597,40.534477945282
3,"20",20,396,35.8601851851852
3,"204",206,401,6.62527015793849
3,"208",206,502,9.15049800796813
3,"211",217,493,6.58015551048005
3,"217",217,455,21.5836263736264
3,"222",222,647,26.0793147861927
3,"23",23,400,28.1371666666667
3,"232",232,497,25.9260898725687
3,"24",271,480,14.8010069444444
3,"241",241,591,30.0624083474337
3,"245",245,564,20.2822104018913
3,"25",25,455,36.6903296703297
3,"254",183,374,4.79830659536542
3,"254",254,662,25.0524672708963
3,"256",41,373,7.45214477211796
3,"256",183,379,5.41873350923483
3,"257",33,414,25.3897745571659
3,"257",257,1761,29.5679348854817
3,"260",33,383,37.34590948651
3,"260",260,1064,31.8002192982456
3,"262",262,793,20.6664354770912
3,"27",27,1211,43.5613267272227
3,"270",266,506,7.99225955204216
3,"270",270,579,24.2221358664364
3,"271",41,497,9.68521126760563
3,"271",270,407,9.30864045864046
3,"276",276,728,20.5618818681319
3,"28",28,553,31.678842676311
3,"286",167,452,4.74675516224189
3,"295",295,550,25.7570909090909
3,"295",299,382,7.49406631762653
3,"295",317,628,8.67072717622081
3,"296",296,729,26.716552354824
3,"296",300,397,14.1064231738035
3,"297",297,410,22.1509349593496
3,"3",3,386,24.345725388601
3,"30",30,1145,24.8347452692868
3,"300",300,459,28.2238198983297
3,"317",317,377,20.6492484526967
3,"321",321,375,27.0433333333333
3,"327",327,921,33.5384364820847
3,"327",391,564,28.5856973995272
3,"33",33,2196,38.5332802064359
3,"33",139,501,25.178376580173
3,"33",449,472,26.5930437853107
3,"34",1,372,9.01742831541219
3,"34",34,592,24.309375
3,"35",1,775,8.61006451612903
3,"35",6,461,7.279284164859
3,"36",36,390,24.8898717948718
3,"36",53,474,4.94486638537271
3,"36",58,421,6.16623119556611
3,"360",360,527,30.490449082859
3,"366",369,408,3.08692810457516
3,"39",39,372,26.0957437275986
3,"390",302,488,13.5890710382514
3,"390",398,471,9.60789101203114
3,"391",327,734,26.1819028156222
3,"391",391,3678,41.5413313394961
3,"391",434,428,40.3981308411215
3,"396",398,418,4.53484848484849
3,"398",392,402,7.2
3,"404",404,477,31.1426275331936
3,"405",405,720,29.3109259259259
3,"407",407,791,15.8027180783818
3,"41",3,390,10.6013675213675
3,"41",20,387,13.0553402239449
3,"41",41,1021,33.4247633039504
3,"41",87,565,10.4752507374631
3,"426",426,617,23.7385197190708
3,"43",43,398,34.7480318257956
3,"434",391,456,31.3139619883041
3,"434",434,483,32.4153209109731
3,"44",44,391,19.3731884057971
3,"449",449,1423,26.3957015694542
3,"45",45,899,20.05489432703
3,"455",455,485,39.209793814433
3,"47",47,804,21.2213308457711
3,"476",474,455,7.65901098901099
3,"48",87,546,6.90888278388278
4,"115",115,367,25.2020435967302
4,"139",139,803,34.5884806973848
4,"18",1,374,7.31136363636364
4,"257",257,376,39.6784574468085
4,"260",260,540,35.5693209876543
4,"27",27,587,31.2320556501988
4,"276",276,420,29.408373015873
4,"296",296,463,33.0098272138229
4,"30",30,728,25.435782967033
4,"317",295,379,7.7915127528584
4,"327",327,520,35.40875
4,"33",33,1305,38.1355172413793
4,"391",391,1703,48.1896750831865
4,"41",266,429,8.24895104895105
4,"426",426,649,23.5799435028249
4,"449",449,406,32.4492200328407
4,"47",47,374,26.7586898395722
5,"33",33,431,38.9871616395978
5,"391",391,493,46.0115956727519
