"Genero_Usuario","Ciclo_Estacion_Retiro","Ciclo_Estacion_Arribo","Viajes","Tiempo_Promedio"
"F","111","174",586,5813690.57050853
"F","133","133",383,10211542.924282
"F","165","163",430,2641809.41627907
"F","174","111",555,6705261.98943423
"F","174","183",616,5733368.70941558
"F","183","174",583,3679059.63464837
"F","391","391",540,29675070.7018519
"F","405","405",367,21821079.4833379
"M","016","271-272",438,965.820899540975
"M","019","271-272",382,813.824670145649
"M","030","030",446,1314.12929594837
"M","1","1",736,22278371.2309783
"M","1","103",376,7718829.21808511
"M","1","174",784,5794804.72193878
"M","1","18",1246,3545642.22150883
"M","1","27",645,5868237.37364341
"M","1","271",432,10807779.9398148
"M","1","34",401,7711172.75810474
"M","1","35",1047,8253563.44221586
"M","1","4",658,12742921.443769
"M","10","1",382,11066298.0575916
"M","103","103",382,17004696.6780105
"M","106","106",370,18574746.0810811
"M","107","113",663,6182358.60633484
"M","107","116",370,6989976.65405405
"M","11","1",397,3657378.26448363
"M","11","11",369,20339508.799458
"M","11","174",529,7393436.13043478
"M","111","111",739,18690668.8880798
"M","111","174",1604,3895250.0077712
"M","111","18",420,6907995.45714286
"M","111","254",563,5042687.2017016
"M","111","256",379,4660202.26130607
"M","111","27",378,5009472.24074074
"M","111","271-272",592,4371515.34034291
"M","113","107",706,4827546.92634561
"M","113","113",384,19377537.5693177
"M","115","115",1479,21366672.2225064
"M","116","116",814,17739032.763645
"M","119","113",444,2700482.54957207
"M","120","120",378,14681914.9689947
"M","121","121",381,12580043.0262467
"M","123","123",527,13167767.1790076
"M","124","124",671,8459859.97530253
"M","125","125",1003,22696849.5377747
"M","125","40",419,8879678.33508353
"M","126","134",386,6863936.9892228
"M","126","141",409,6322998.6134132
"M","128","128",621,17058763.8106699
"M","133","133",966,12535910.3563137
"M","133","136",433,7282437.08083141
"M","135","136",684,5903059.86988304
"M","136","135",710,4888166.26901408
"M","136","136",666,20076614.2912913
"M","137","137",449,18545553.9936481
"M","139","139",873,19653437.2729118
"M","141","126",436,5644603.64533257
"M","141","141",986,15222079.9586531
