id,Latitud,Longitud
1,19.4335895,-99.1678193
2,19.43051,-99.171201
3,19.43163,-99.158547
4,19.428491,-99.171693
5,19.429804,-99.169451
6,19.430963,-99.166986
7,19.425355,-99.17515
8,19.431256,-99.158153
9,19.428184,-99.170013
10,19.433431,-99.155142
11,19.431192,-99.163546
12,19.432223,-99.161686
13,19.424941,-99.17233
14,19.42454,-99.173247
15,19.425597,-99.171409
16,19.426898,-99.168422
17,19.427553,-99.167396
18,19.428802,-99.164381
19,19.429453,-99.16283
20,19.430907,-99.160148
21,19.424784,-99.172119
22,19.424784,-99.172119
23,19.42528,-99.171099
24,19.426614,-99.168078
25,19.427338,-99.16672
26,19.432595,-99.154995
27,19.42916,-99.162703
28,19.423664,-99.172568
29,19.434944,-99.150295
30,19.426384,-99.164255
31,19.427937,-99.161245
32,19.4226672,-99.1699751
33,19.424187,-99.166497
34,19.424584,-99.163688
35,19.424558,-99.163518
36,19.41966,-99.17588
37,19.4204398,-99.1727208
38,19.4208433,-99.1713729
39,19.421762,-99.166931
40,19.422379,-99.164137
41,19.43542,-99.150317
42,19.420627,-99.16821
43,19.4351365,-99.1460756
44,19.418141,-99.174709
45,19.418749,-99.171942
46,19.41919,-99.169764
47,19.41955,-99.166214
48,19.433705,-99.146665
49,19.41689,-99.17562
50,19.416886,-99.173591
51,19.418031,-99.168435
52,19.436208,-99.141931
53,19.4148233,-99.1783527
54,19.416163,-99.170795
55,19.434514,-99.138068
56,19.417102,-99.165607
57,19.414968,-99.174766
58,19.415358,-99.171902
59,19.415237,-99.16659
60,19.414119,-99.177214
61,19.413789,-99.169427
62,19.413314,-99.175225
63,19.41299,-99.171675
64,19.412982,-99.166936
65,19.436522,-99.139811
66,19.411825,-99.178456
67,19.411703,-99.175753
68,19.411771,-99.173783
69,19.410797,-99.168143
70,19.41128,-99.169825
71,19.411361,-99.171271
72,19.409859,-99.179565
73,19.410073,-99.175542
74,19.410468,-99.172802
75,19.408676,-99.176759
76,19.4086886,-99.169938
77,19.406745,-99.178272
78,19.407512,-99.177361
