id,Estación
1,Río Sena - Río Balsas
2,Río Guadalquivir - Río Nazas
3,Reforma - Insurgentes
4,Río Nilo - Río Pánuco
5,Río Pánuco - Río Tíber
6,Río Pánuco - Río Sena
7,Río Elba - Río Lerma
8,Reforma - General Prim
9,Río Guadalquivir - Río Lerma
10,Reforma - Ramírez
11,Río Amazonas - Río Lerma
12,Río Lerma - Villalongín
13,Reforma - Río Mississippi
14,Reforma - Río de la Plata
15,Reforma - Río Mississippi
16,Reforma - Río Tíber
17,Reforma - Río Tíber
18,Reforma - Río Rhin
19,Reforma - Río Rhin
20,Reforma - Río Támesis
21,Reforma - Dublín
22,Reforma - Manchester
23,Reforma - Praga
24,Reforma - Varsovia
25,Reforma - Estocolmo
26,Reforma - Versalles
27,Reforma - Havre
28,Toledo - Tokio
29,Reforma - Bucareli
30,Hamburgo - Génova
31,Hamburgo - Insurgentes
32,Londres - Sevilla
33,Londres - Florencia
34,Liverpool - Génova
35,Liverpool - Génova
36,Puebla - Veracruz
37,Guadalajara - Puebla
38,Cozumel - Puebla
39,Puebla - Medellín
40,Oaxaca - Puebla
41,Reforma - De la República
42,Sinaloa - Valladolid
43,Juárez - Dr. Mora
44,Durango - Veracruz
45,Durango - Sonora
46,Durango - Salamanca
47,Plaza Madrid - Medellín
48,Independencia - Azueta
49,Mazatlán - Juan de la Barrera
50,Cuernavaca - Veracruz
51,Colima - Oaxaca
52,Hidalgo - Trujano
53,Fernando Montes de Oca - Tula
54,Parque España - Sonora
55,5 de Mayo - Bolívar
56,Álvaro Obregón - Medellín
57,Cuernavaca - Juan Escutia
58,Parque España - Juan de la Barrera
59,Popocatépetl - Ámsterdam
60,Mazatlán - Fernando Montes de Oca
61,Avenida México - Sonora
62,Fernando Montes de Oca - Amatlán
63,Nuevo León - Laredo
64,Sonora - Ámsterdam
65,Marconi - Tacuba
66,Mazatlán - Francisco Márquez
67,Vicente Suárez - Michoacán
68,Tamaulipas - Michoacán
69,Michoacán - Ámsterdam
70,Parque México - Michoacán
71,Ámsterdam - Michoacán
72,Mazatlán - Alfonso Reyes
73,Campeche - Tamaulipas
74,Nuevo León - Ozuluama
75,Alfonso Reyes - Atlixco
76,Chilpancingo - Campeche
77,Choapan - Tamaulipas
78,Benjamín Hill - Tamaulipas
79,Saltillo - Alfonso Reyes
80,Nuevo León - Aguascalientes
81,Aguascalientes - Insurgentes
82,Independencia - Marroquí
83,Alfonso Reyes - Nuevo León
84,Chilpancingo - Tlaxcala
85,José Rosas Moreno - Sullivan
86,Sullivan - Insurgentes
87,Gante - Venustiano Carranza
88,2da cerrada de 5 de Mayo - Palma
89,República de Guatemala - Monte de Piedad
90,José María Pino Suárez - Corregidora
91,República de Cuba - Allende
92,San Ildefonso - República de Argentina
93,Palma Norte - República de Cuba
94,Lic. Primo de Verdad - Moneda
95,20 de Noviembre - Venustiano Carranza
96,López - Ayuntamiento
97,República de Salvador - Pino Suárez
98,Emilio Dondé - Av. Balderas
99,Ernesto Pugibet - Luis Moya
100,20 de Noviembre - Mesones
101,1er. Callejón de Mesones - Mesones
102,Echeveste - Bolívar
103,Joaquín Velázquez de León - García Icazbalceta
104,San Jerónimo - Isabel la Católica
105,San Jerónimo - 5 de Febrero
106,San Jerónimo - José María Pino Suarez
107,Tolsá - Balderas
108,Tolsá - Balderas
109,Nezahualcóyotl - Isabel la Católica
110,Dr. Valenzuela - Dr. Río de la Loza
111,Guillermo Prieto - Joaquín Velázquez de León
112,Av. Morelos - Abraham González
113,General Prim - Versalles
114,Lucerna - Abraham González
115,Roma - Dinamarca
116,Londres - Roma
117,Londres - Nápoles
118,Liverpool - Dinamarca
119,Turín - Abraham González
120,Marsella - Nápoles
121,Niza - Chapultepec
122,José María Vértiz - Av. Dr. Río de la Loza
123,Claudio Bernard - Dr. Lavista
124,Claudio Bernard - Dr. Liceaga
125,Morelia - Circular de Morelia
126,Jalapa - Puebla
127,Puebla - Mérida
128,Orizaba - Río de Janeiro
129,Tonalá - Durango
