Rank,id,value,mesure,Year,Estación,nombre
0,1,0.048,in_deg_cent,2021,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.048)
1,174,0.032,in_deg_cent,2021,Joaquín García Icazbalceta - Ignacio Manuel Altamirano,174. Joaquín García Icazbalceta - Ignacio Manuel Altamirano (0.032)
2,33,0.032,in_deg_cent,2021,Londres - Florencia,33. Londres - Florencia (0.032)
3,183,0.032,in_deg_cent,2021,Gabino Barreda - Guillermo Prieto,183. Gabino Barreda - Guillermo Prieto (0.032)
4,163,0.024,in_deg_cent,2021,Toluca - Bajío,163. Toluca - Bajío (0.024)
5,139,0.024,in_deg_cent,2021,Tonalá - Guanajuato,139. Tonalá - Guanajuato (0.024)
6,391,0.024,in_deg_cent,2021,Oso - Félix Cuevas,391. Oso - Félix Cuevas (0.024)
7,41,0.024,in_deg_cent,2021,Reforma - De la República,41. Reforma - De la República (0.024)
8,270,0.016,in_deg_cent,2021,De la República - Ponciano Arriaga,270. De la República - Ponciano Arriaga (0.016)
9,151,0.016,in_deg_cent,2021,Campeche - Tonalá,151. Campeche - Tonalá (0.016)
10,300,0.016,in_deg_cent,2021,Providencia - Luz Saviñón,300. Providencia - Luz Saviñón (0.016)
11,3,0.016,in_deg_cent,2021,Reforma - Insurgentes,3. Reforma - Insurgentes (0.016)
12,217,0.016,in_deg_cent,2021,Euler - Av. Horacio,217. Euler - Av. Horacio (0.016)
13,18,0.016,in_deg_cent,2021,Reforma - Río Rhin,18. Reforma - Río Rhin (0.016)
14,141,0.016,in_deg_cent,2021,Zacatecas - Luis Cabrera,141. Zacatecas - Luis Cabrera (0.016)
15,14,0.016,in_deg_cent,2021,Reforma - Río de la Plata,14. Reforma - Río de la Plata (0.016)
16,317,0.016,in_deg_cent,2021,Avenida Coyoacán - Torres Adalid,317. Avenida Coyoacán - Torres Adalid (0.016)
17,257,0.016,in_deg_cent,2021,Manuel María Conteras - Villalongín,257. Manuel María Conteras - Villalongín (0.016)
18,136,0.016,in_deg_cent,2021,Álvaro Obregón - Tonalá,136. Álvaro Obregón - Tonalá (0.016)
19,449,0.016,in_deg_cent,2021,Acapulco - Puebla,449. Acapulco - Puebla (0.016)
20,135,0.016,in_deg_cent,2021,Álvaro Obregón - Morelia,135. Álvaro Obregón - Morelia (0.016)
21,327,0.016,in_deg_cent,2021,Georgia - Pensilvania,327. Georgia - Pensilvania (0.016)
22,134,0.016,in_deg_cent,2021,Álvaro Obregón - Orizaba,134. Álvaro Obregón - Orizaba (0.016)
23,206,0.016,in_deg_cent,2021,Moliere - Homero,206. Moliere - Homero (0.016)
24,119,0.016,in_deg_cent,2021,Turín - Abraham González,119. Turín - Abraham González (0.016)
25,87,0.016,in_deg_cent,2021,Gante - Venustiano Carranza,87. Gante - Venustiano Carranza (0.016)
26,20,0.016,in_deg_cent,2021,Reforma - Río Támesis,20. Reforma - Río Támesis (0.016)
27,434,0.016,in_deg_cent,2021,José María Olloqui - Amores,434. José María Olloqui - Amores (0.016)
28,111,0.016,in_deg_cent,2021,Guillermo Prieto - Joaquín Velázquez de León,111. Guillermo Prieto - Joaquín Velázquez de León (0.016)
29,398,0.016,in_deg_cent,2021,Juan Sánchez Azcona - Félix Cuevas,398. Juan Sánchez Azcona - Félix Cuevas (0.016)
30,260,0.008,in_deg_cent,2021,Juárez - Balderas,260. Juárez - Balderas (0.008)
31,27,0.008,in_deg_cent,2021,Reforma - Havre,27. Reforma - Havre (0.008)
32,276,0.008,in_deg_cent,2021,Anaxágoras - Obrero Mundial,276. Anaxágoras - Obrero Mundial (0.008)
33,266,0.008,in_deg_cent,2021,Jesús García - Carlos J. Meneses,266. Jesús García - Carlos J. Meneses (0.008)
34,232,0.008,in_deg_cent,2021,Taine - Rubén Darío,232. Taine - Rubén Darío (0.008)
35,262,0.008,in_deg_cent,2021,República de Cuba - República de Brasil,262. República de Cuba - República de Brasil (0.008)
36,455,0.008,in_deg_cent,2021,Pedregal - Ferrocarril de Cuernavaca,455. Pedregal - Ferrocarril de Cuernavaca (0.008)
37,28,0.008,in_deg_cent,2021,Toledo - Tokio,28. Toledo - Tokio (0.008)
38,271,0.008,in_deg_cent,2021,Jesús García - Carlos J. Meneses,271. Jesús García - Carlos J. Meneses (0.008)
39,241,0.008,in_deg_cent,2021,Ejército Nacional - Juan Vázquez de la Mella,241. Ejército Nacional - Juan Vázquez de la Mella (0.008)
40,245,0.008,in_deg_cent,2021,Lago Onega - Ejército Nacional,245. Lago Onega - Ejército Nacional (0.008)
41,25,0.008,in_deg_cent,2021,Reforma - Estocolmo,25. Reforma - Estocolmo (0.008)
42,254,0.008,in_deg_cent,2021,Alfonso Herrera - Miguel Schultz,254. Alfonso Herrera - Miguel Schultz (0.008)
43,45,0.008,in_deg_cent,2021,Durango - Sonora,45. Durango - Sonora (0.008)
44,23,0.008,in_deg_cent,2021,Reforma - Praga,23. Reforma - Praga (0.008)
45,321,0.008,in_deg_cent,2021,Torres Adalid - Anaxágoras,321. Torres Adalid - Anaxágoras (0.008)
46,295,0.008,in_deg_cent,2021,Anaxágoras - Eje 4 Sur Xola,295. Anaxágoras - Eje 4 Sur Xola (0.008)
47,44,0.008,in_deg_cent,2021,Durango - Veracruz,44. Durango - Veracruz (0.008)
48,405,0.008,in_deg_cent,2021,División del Norte - Municipio Libre,405. División del Norte - Municipio Libre (0.008)
49,404,0.008,in_deg_cent,2021,Miguel Laurent - Avenida División del Norte,404. Miguel Laurent - Avenida División del Norte (0.008)
50,392,0.008,in_deg_cent,2021,Patricio Sanz - Félix Cuevas,392. Patricio Sanz - Félix Cuevas (0.008)
51,426,0.008,in_deg_cent,2021,Mayorazgo de Solís - Av. Popocatépetl (Eje 8),426. Mayorazgo de Solís - Av. Popocatépetl (Eje 8) (0.008)
52,302,0.008,in_deg_cent,2021,Luz Saviñón - Magdalena,302. Luz Saviñón - Magdalena (0.008)
53,43,0.008,in_deg_cent,2021,Juárez - Dr. Mora,43. Juárez - Dr. Mora (0.008)
54,39,0.008,in_deg_cent,2021,Puebla - Medellín,39. Puebla - Medellín (0.008)
55,369,0.008,in_deg_cent,2021,Porfirio Díaz - Avenida Insurgentes,369. Porfirio Díaz - Avenida Insurgentes (0.008)
56,360,0.008,in_deg_cent,2021,Heriberto Frías - Matías Romero,360. Heriberto Frías - Matías Romero (0.008)
57,299,0.008,in_deg_cent,2021,Romero de Terreros - Mier y Pesado,299. Romero de Terreros - Mier y Pesado (0.008)
58,58,0.008,in_deg_cent,2021,Parque España - Juan de la Barrera,58. Parque España - Juan de la Barrera (0.008)
59,53,0.008,in_deg_cent,2021,Fernando Montes de Oca - Tula,53. Fernando Montes de Oca - Tula (0.008)
60,36,0.008,in_deg_cent,2021,Puebla - Veracruz,36. Puebla - Veracruz (0.008)
61,6,0.008,in_deg_cent,2021,Río Pánuco - Río Sena,6. Río Pánuco - Río Sena (0.008)
62,34,0.008,in_deg_cent,2021,Liverpool - Génova,34. Liverpool - Génova (0.008)
63,30,0.008,in_deg_cent,2021,Hamburgo - Génova,30. Hamburgo - Génova (0.008)
64,297,0.008,in_deg_cent,2021,Diagonal San Antonio - Enrique Rébsamen,297. Diagonal San Antonio - Enrique Rébsamen (0.008)
65,296,0.008,in_deg_cent,2021,Diagonal San Antonio - Enrique Rébsamen,296. Diagonal San Antonio - Enrique Rébsamen (0.008)
66,222,0.008,in_deg_cent,2021,Alejandro Dumas - Presidente Masaryk,222. Alejandro Dumas - Presidente Masaryk (0.008)
67,184,0.008,in_deg_cent,2021,General Gómez Pedraza - Gobernador Tiburcio Montiel,184. General Gómez Pedraza - Gobernador Tiburcio Montiel (0.008)
68,47,0.008,in_deg_cent,2021,Plaza Madrid - Medellín,47. Plaza Madrid - Medellín (0.008)
69,117,0.008,in_deg_cent,2021,Londres - Nápoles,117. Londres - Nápoles (0.008)
70,142,0.008,in_deg_cent,2021,San Luis Potosí - Eje 2 Pte. Monterrey,142. San Luis Potosí - Eje 2 Pte. Monterrey (0.008)
71,137,0.008,in_deg_cent,2021,Álvaro Obregón - Mérida,137. Álvaro Obregón - Mérida (0.008)
72,56,0.008,in_deg_cent,2021,Álvaro Obregón - Medellín,56. Álvaro Obregón - Medellín (0.008)
73,133,0.008,in_deg_cent,2021,Colima - Morelia,133. Colima - Morelia (0.008)
